y,y.binary,y.time.to.event,status,y.0,y.1,y.binary.0,y.binary.1,y.time.to.event.0,y.time.to.event.1,status.0,status.1,treatment,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,sigpos
3.608576917,1,2.137174876,0,2.608576917,3.608576917,1,1,2.137174876,2.137174876,0,0,1,-1.353900482,0.214232981,-0.252217733,2.042491844,-1.058474426,-1.195791028,0.678519822,-0.110302814,-1.209329821,-0.626882105,1
-1.562684475,0,0.209572723,1,0.851529087,-1.562684475,0,0,2.343227113,0.209572723,1,1,1,1.087903561,1.148563629,-0.469559282,0.198518462,1.34207718,-0.964431887,-0.332865177,-0.758141342,1.713867979,1.346072573,0
1.656197051,1,0.136277112,0,1.656197051,0.949090269,1,1,0.136277112,0.136277112,0,0,0,1.045382952,0.688807851,-1.694563833,-0.0457877,-0.635731659,0.284523292,1.820555071,0.410655589,0.954793285,0.191916258,0
3.010741251,1,0.234021138,0,2.010741251,3.010741251,1,1,0.234021138,0.234021138,0,0,1,-0.195331284,-0.674279781,-2.151927181,-1.544903272,0.543484436,-2.22735862,-0.065638137,-1.078034946,0.529382315,-2.975984915,1
-0.490968598,0,0.012223937,0,-0.490968598,-1.198075379,0,0,0.012223937,0.012223937,0,0,0,-0.716255651,0.983445922,0.988742311,1.115778611,0.704831071,0.070265905,1.852831442,0.698817648,3.940982718,0.484707357,0
0.594818039,0,1.812701075,1,-0.405181961,0.594818039,0,0,0.666855458,1.812701075,1,1,1,-0.643485336,0.032170924,-1.53471754,0.38655647,-1.065546846,-0.001190381,1.000241493,-0.413134664,-0.309807903,0.622425443,1
0.513033672,0,1.286936889,0,-0.486966328,0.513033672,0,0,0.614487724,1.286936889,1,0,1,-1.408438319,-1.60640802,-0.759742816,0.827818524,2.118866385,-0.572191256,-0.826428376,2.072160804,-0.118621609,-0.532111183,1
1.218067202,1,3.380647308,1,1.925173984,1.218067202,1,1,6.856341453,3.380647308,1,1,1,1.59429886,-1.143157881,-0.665092882,0.735176164,0.171472215,1.334696385,0.971890508,-0.398266406,0.387161541,-1.384395705,0
-1.10755756,0,0.013238114,0,-1.10755756,-1.814664341,0,0,0.013238114,0.013238114,0,0,0,0.685710945,0.892307273,0.53541696,-0.533678922,2.188846436,-0.763145237,0.274301096,1.072640427,-0.409296819,2.989642665,0
1.035770106,1,2.817275002,1,1.742876887,1.035770106,1,1,5.713757638,2.817275002,1,1,1,-2.279545605,2.322109387,-1.573194782,-3.047232434,-0.229911535,-0.678759573,-2.100699136,-1.56699299,0.410357258,-0.721226031,0
1.300838224,1,0.093732199,0,1.300838224,2.300838224,1,1,0.093732199,0.093732199,0,0,0,-0.391374519,-0.047702561,0.409580336,-0.105178107,-0.525232332,1.465363645,2.997504637,1.330490486,-2.506887047,0.771529403,1
-2.034894844,0,0.130694225,1,-1.327788063,-2.034894844,0,0,0.265062916,0.130694225,1,1,1,-1.093851628,1.459501965,-0.774642094,1.848689199,2.075816349,0.738091279,1.618309869,-0.142955437,1.009322421,-0.005317987,0
0.979148399,1,0.002243006,0,0.979148399,-1.435065164,1,0,0.002243006,0.002243006,0,0,0,1.038535706,1.138007741,-2.256344959,-0.866798145,0.017585057,-1.853021993,1.795563577,0.81775185,2.634268639,-1.275842482,0
0.597330947,0,0.636606175,0,0.597330947,1.597330947,0,1,0.636606175,0.636606175,0,0,0,-0.889654414,-2.001568375,0.314530016,-1.448183787,-1.692291542,0.145448912,-0.829193568,-0.605963779,2.205629279,-1.35052389,1
0.708137524,0,0.26401171,0,0.708137524,1.708137524,0,1,0.26401171,0.26401171,0,0,0,0.58445672,-1.013465376,-1.359113638,0.176014902,2.021038868,0.449281685,0.841929397,-0.419024043,1.375800653,1.344269194,1
-2.272893475,0,0.103013681,1,0.141320088,-2.272893475,0,0,0.414251851,0.103013681,0,1,1,2.066832076,1.751387565,0.929160836,1.191970707,-0.817536671,2.448365299,2.643864096,2.14089671,-1.743544803,-1.864945161,0
-0.207299278,0,0.178810526,0,-1.207299278,-0.207299278,0,0,0.178810526,0.178810526,0,0,1,-1.549729007,-1.368871612,3.568054912,0.532799036,-0.757345804,2.445140728,-0.596646899,-1.093479433,-1.410285056,0.346452961,1
1.150897087,1,2.094674557,0,1.858003868,1.150897087,1,1,2.094674557,2.094674557,0,0,1,-1.018384982,1.005396534,-0.680120204,-1.845329399,0.627931765,3.312579817,0.359667351,-1.462240089,1.977635058,0.194114606,0
-0.285447509,0,0.751677796,1,-0.285447509,0.714552491,0,0,0.751677796,0.784079639,1,0,0,-1.424383896,0.542975358,-1.743583374,0.838863936,-1.681636664,-0.985150224,-2.929583307,-0.525111246,-1.5566785,-1.353044345,1
1.644677626,1,2.762912106,0,0.644677626,1.644677626,0,1,1.905372689,2.762912106,1,0,1,0.229321523,-3.723911842,2.830724303,2.81769008,0.055300685,-0.292670882,-0.064823251,-0.845079398,3.621302254,0.132261053,1
0.146795911,0,1.15811758,1,-0.853204089,0.146795911,0,0,0.426047648,1.15811758,1,1,1,0.098582133,0.514934292,-1.18697898,-3.509372067,-3.300745421,-1.902123291,-2.114314097,-0.624023335,0.035488453,-3.237641736,1
-0.802124779,0,0.448375253,1,-0.802124779,-3.216338341,0,0,0.448375253,0.040101628,1,1,0,1.657668175,1.314479863,-1.611954018,0.940588282,0.233655191,2.621752571,-1.59093823,-0.977045438,0.428093499,-2.599541236,0
